Begin Rejuvenation count: 1
Original number of rows in prices dataframe: 233
    AvailabilityZone      InstanceType  MaximumNetworkInterfaces  SpotPrice  PricePerInterface                 Timestamp
133       us-east-1c        c5d.xlarge                         4     0.0980           0.028250 2024-07-03 19:16:52+00:00
617       us-east-1a        c5n.xlarge                         4     0.0983           0.028325 2024-07-03 18:17:16+00:00
940       us-east-1c   m7i-flex.xlarge                         4     0.0986           0.028400 2024-07-03 17:47:01+00:00
150       us-east-1d        m5n.xlarge                         4     0.0989           0.028475 2024-07-03 19:16:43+00:00
513       us-east-1d       c7gn.xlarge                         4     0.1006           0.028900 2024-07-03 18:32:00+00:00
226       us-east-1b        r6a.xlarge                         4     0.1019           0.029225 2024-07-03 19:02:15+00:00
144       us-east-1a       c6id.xlarge                         4     0.1022           0.029300 2024-07-03 19:16:47+00:00
194       us-east-1a         m2.xlarge                         4     0.1027           0.029425 2024-07-03 19:02:31+00:00
653       us-east-1b         r5.xlarge                         4     0.1058           0.030200 2024-07-03 18:17:03+00:00
70        us-east-1d        m7a.xlarge                         4     0.1059           0.030225 2024-07-03 19:17:10+00:00
496       us-east-1b       m6gd.xlarge                         4     0.1075           0.030625 2024-07-03 18:32:08+00:00
182       us-east-1c       m7gd.xlarge                         4     0.1083           0.030825 2024-07-03 19:02:38+00:00
713       us-east-1d        a1.2xlarge                         4     0.1090           0.031000 2024-07-03 18:02:54+00:00
804       us-east-1c         r5.xlarge                         4     0.1094           0.031100 2024-07-03 18:02:03+00:00
731       us-east-1d        c7a.xlarge                         4     0.1106           0.031400 2024-07-03 18:02:42+00:00
556       us-east-1f       c6in.xlarge                         4     0.1107           0.031425 2024-07-03 18:17:48+00:00
360       us-east-1d       r6gd.xlarge                         4     0.1109           0.031475 2024-07-03 18:47:12+00:00
277       us-east-1a        m7a.xlarge                         4     0.1109           0.031475 2024-07-03 19:01:55+00:00
91        us-east-1a      is4gen.large                         3     0.1117           0.040567 2024-07-03 19:17:04+00:00
476       us-east-1a       m5dn.xlarge                         4     0.1137           0.032175 2024-07-03 18:32:18+00:00
782       us-east-1a        r7i.xlarge                         4     0.1144           0.032350 2024-07-03 18:02:18+00:00
887       us-east-1c        m5n.xlarge                         4     0.1144           0.032350 2024-07-03 17:47:22+00:00
931       us-east-1a         m3.xlarge                         4     0.1145           0.032375 2024-07-03 17:47:05+00:00
960       us-east-1f        r7g.xlarge                         4     0.1157           0.032675 2024-07-03 17:46:54+00:00
712       us-east-1b        a1.2xlarge                         4     0.1179           0.033225 2024-07-03 18:02:54+00:00
313       us-east-1d        r7i.xlarge                         4     0.1183           0.033325 2024-07-03 18:47:38+00:00
602       us-east-1f       r7gd.xlarge                         4     0.1184           0.033350 2024-07-03 18:17:21+00:00
396       us-east-1f         r4.xlarge                         4     0.1195           0.033625 2024-07-03 18:46:55+00:00
699       us-east-1d      is4gen.large                         3     0.1210           0.043667 2024-07-03 18:03:03+00:00
140       us-east-1b       c6in.xlarge                         4     0.1217           0.034175 2024-07-03 19:16:49+00:00
808       us-east-1d       m6g.2xlarge                         4     0.1225           0.034375 2024-07-03 18:02:02+00:00
642       us-east-1a       m5ad.xlarge                         4     0.1235           0.034625 2024-07-03 18:17:07+00:00
658       us-east-1c        m5d.xlarge                         4     0.1237           0.034675 2024-07-03 18:17:02+00:00
816       us-east-1f       c6g.2xlarge                         4     0.1240           0.034750 2024-07-03 18:01:56+00:00
918       us-east-1c       r5ad.xlarge                         4     0.1243           0.034825 2024-07-03 17:47:11+00:00
118       us-east-1c       c6g.2xlarge                         4     0.1244           0.034850 2024-07-03 19:16:55+00:00
74        us-east-1e         m3.xlarge                         4     0.1246           0.034900 2024-07-03 19:17:09+00:00
256       us-east-1a      c6gd.2xlarge                         4     0.1250           0.035000 2024-07-03 19:02:03+00:00
92        us-east-1c      is4gen.large                         3     0.1252           0.045067 2024-07-03 19:17:04+00:00
886       us-east-1b       m5dn.xlarge                         4     0.1255           0.035125 2024-07-03 17:47:22+00:00
989       us-east-1d       x2gd.xlarge                         4     0.1283           0.035825 2024-07-03 17:32:44+00:00
517       us-east-1a       c6g.2xlarge                         4     0.1285           0.035875 2024-07-03 18:31:59+00:00
797       us-east-1d      c6gd.2xlarge                         4     0.1287           0.035925 2024-07-03 18:02:09+00:00
122       us-east-1c       t3a.2xlarge                         4     0.1303           0.036325 2024-07-03 19:16:55+00:00
775       us-east-1a       c7g.2xlarge                         4     0.1310           0.036500 2024-07-03 18:02:22+00:00
229       us-east-1b       m6g.2xlarge                         4     0.1319           0.036725 2024-07-03 19:02:13+00:00
68        us-east-1b        r7i.xlarge                         4     0.1338           0.037200 2024-07-03 19:17:12+00:00
261       us-east-1f       r5ad.xlarge                         4     0.1343           0.037325 2024-07-03 19:02:01+00:00
490       us-east-1f       c6a.2xlarge                         4     0.1344           0.037350 2024-07-03 18:32:12+00:00
235       us-east-1b        i4g.xlarge                         4     0.1366           0.037900 2024-07-03 19:02:11+00:00
809       us-east-1b       r6id.xlarge                         4     0.1374           0.038100 2024-07-03 18:02:02+00:00
605       us-east-1f       c6i.2xlarge                         4     0.1375           0.038125 2024-07-03 18:17:20+00:00
760       us-east-1d        r7a.xlarge                         4     0.1406           0.038900 2024-07-03 18:02:27+00:00
472       us-east-1a        t2.2xlarge                         3     0.1412           0.050400 2024-07-03 18:32:21+00:00
15        us-east-1d       c7i.2xlarge                         4     0.1418           0.039200 2024-07-03 19:17:50+00:00
609       us-east-1f       r7iz.xlarge                         4     0.1420           0.039250 2024-07-03 18:17:19+00:00
146       us-east-1a        r5n.xlarge                         4     0.1420           0.039250 2024-07-03 19:16:47+00:00
902       us-east-1d       r6in.xlarge                         4     0.1425           0.039375 2024-07-03 17:47:15+00:00
348       us-east-1a       c6i.2xlarge                         4     0.1430           0.039500 2024-07-03 18:47:18+00:00
548       us-east-1d       t4g.2xlarge                         4     0.1460           0.040250 2024-07-03 18:17:51+00:00
473       us-east-1d        t2.2xlarge                         3     0.1481           0.052700 2024-07-03 18:32:21+00:00
306       us-east-1c       g4ad.xlarge                         2     0.1483           0.076650 2024-07-03 18:47:44+00:00
61        us-east-1a       r7gd.xlarge                         4     0.1485           0.040875 2024-07-03 19:17:13+00:00
14        us-east-1f       c7i.2xlarge                         4     0.1497           0.041175 2024-07-03 19:17:50+00:00
650       us-east-1c       r6id.xlarge                         4     0.1508           0.041450 2024-07-03 18:17:03+00:00
951       us-east-1f        z1d.xlarge                         4     0.1517           0.041675 2024-07-03 17:46:58+00:00
82        us-east-1c         m1.xlarge                         4     0.1525           0.041875 2024-07-03 19:17:06+00:00
192       us-east-1a       r7iz.xlarge                         4     0.1542           0.042300 2024-07-03 19:02:32+00:00
180       us-east-1a      inf1.2xlarge                         4     0.1556           0.042650 2024-07-03 19:02:40+00:00
347       us-east-1d       m6a.2xlarge                         4     0.1563           0.042825 2024-07-03 18:47:19+00:00
937       us-east-1d         i3.xlarge                         4     0.1567           0.042925 2024-07-03 17:47:02+00:00
197       us-east-1c       m5ad.xlarge                         4     0.1569           0.042975 2024-07-03 19:02:30+00:00
455       us-east-1c       c6i.2xlarge                         4     0.1579           0.043225 2024-07-03 18:32:31+00:00
601       us-east-1f       m6i.2xlarge                         4     0.1587           0.043425 2024-07-03 18:17:22+00:00
552       us-east-1d       g4ad.xlarge                         2     0.1589           0.081950 2024-07-03 18:17:50+00:00
895       us-east-1f       m6a.2xlarge                         4     0.1616           0.044150 2024-07-03 17:47:19+00:00
330       us-east-1f       r6in.xlarge                         4     0.1622           0.044300 2024-07-03 18:47:29+00:00
100       us-east-1c         i3.xlarge                         4     0.1622           0.044300 2024-07-03 19:17:02+00:00
958       us-east-1c        c5.2xlarge                         4     0.1626           0.044400 2024-07-03 17:46:55+00:00
